order_id,customer_id,order_total_usd,make,model,delivery_city,delivery_company,delivery_address
1,535,190899.73,Dodge,Ram Wagon B350,Sheffield,DuBuque LLC,2810 Northland Avenue
2,671,33245.53,Volkswagen,Cabriolet,Edinburgh,Bechtelar-VonRueden,1 Macpherson Crossing
3,695,155664.90,Toyota,Avalon,Brighton,"Jacobs, Ebert and Dooley",4 Loomis Crossing
4,366,149012.91,Hyundai,Santa Fe,Leeds,Kiehn Group,538 Burning Wood Alley
5,175,63274.18,Kia,Sportage,Leeds,Miller-Hudson,6 Kennedy Court
6,37,97790.04,BMW,3 Series,Bristol,Price Group,21611 Morning Trail
7,644,76240.84,Mazda,MPV,Leeds,Kihn and Sons,9 Susan Street
8,973,216233.98,Hyundai,Elantra,Sheffield,"Feeney, Howe and Koss",07671 Hazelcrest Terrace
9,463,162589.10,Chrysler,Grand Voyager,York,"Fay, Murazik and Schumm",42080 Pawling Circle
10,863,111208.24,Ford,Laser,Leeds,"Boehm, Mohr and Doyle",0919 International Trail
11,631,115753.95,Kia,Sorento,Leeds,"Herzog, Towne and Toy",08 Declaration Park
12,922,162480.39,GMC,Yukon XL 1500,Leeds,Hammes-Kuhlman,5 West Park
13,704,136123.75,Audi,TT,Bristol,Witting-Daniel,9696 Katie Point
14,666,49901.72,Saturn,S-Series,London,Hickle-Cummerata,54140 Northport Point
15,683,193888.24,Toyota,Prius,Leeds,"Monahan, Johns and Schiller",4706 Dorton Hill
16,708,15363.86,Toyota,Prius,Leeds,Abernathy Inc,391 Washington Pass
17,359,107546.23,Jaguar,XJ Series,Sheffield,West-Fritsch,876 Petterle Lane
18,339,105038.49,Ford,Windstar,London,"Watsica, Quigley and Smith",572 Bartelt Place
19,58,97888.57,Buick,Century,Brighton,Crona-Volkman,12 Golf Course Street
20,111,116873.53,Ford,F250,Swindon,Kuhic-Homenick,614 Elmside Terrace
21,811,140427.90,Chevrolet,Astro,York,Beer-Baumbach,3 Menomonie Alley
22,687,199641.90,Volvo,S90,London,Tremblay-Lesch,3301 Surrey Drive
23,560,47245.21,Audi,S4,Brighton,Nienow-Wehner,1 Golf Hill
24,355,196834.38,Volvo,C70,Sheffield,"Kerluke, Cole and Rippin",5 Pennsylvania Place
25,243,193988.10,Mitsubishi,Lancer Evolution,York,"Thiel, Tremblay and Moore",62 Dwight Trail
26,358,149144.17,Jaguar,X-Type,Bristol,Langworth-Beier,43 Kropf Street
27,542,206976.61,Chevrolet,Cruze,Sheffield,"Durgan, Kassulke and Conroy",04 Waxwing Point
28,64,31888.16,Mitsubishi,Lancer Evolution,Exeter,Gulgowski-D'Amore,1907 Lien Trail
