shipname;mmsi
FRIO FORWIN;210631000
AQUAMARINE;214182223
OCEAN STAR 98;214182700
MINIK ARCTICA;219663000
IVALO ARCTICA;219667000
IZAR ARGIA;224434000
V CENTENARIO;224739000
MARINERO2;238187240
SANTINA;256384000
HORISONT III;257349500
AQUA TROMOEY;257360000
RO FJORD;257430000
RONJA FJORD;257659000
DOENNLAND;257797000
SILVER COPENHAGEN;257859000
SAMSKIP ARCTIC;257962000
MARTIN SAELE;257982700
INTER CALEDONIA;258211000
VIKING ATLANTIC;258394500
RO SERVER;258534000
SILVER HORN;258818000
RONJA ATLANTIC;258990000
RO MASTER;259183000
ROHAV;259584000
GRIP TRANSPORTER;259605000
OCEAN FRESH;259758000
TAMAR;267181950
KILIC12;271001066
KILIC 1;271043084
AKUA GROUP2;271044372
AVCI BABA-2;271069011
ERGUN KARD. BALIKC 2;271072043
AVCI RECEBINA-1;271072044
KAPTAN HILMI-53;271072487
BASARANLAR;271072769
KILIC 18;271072835
EYUPOGLU KARDESLER-3;271072836
AKERKO;271072997
YUKSEL REIS;271073249
SURSAN 29;271073327
OTOMAR OSHKALN;273142710
BELOMORYE;273148810
OBAYATELNYY;273191300
KRYMSKIY;273195200
PAMYAT KIROVA;273210110
PAMYAT ILICHA;273211110
ARTEMIDA;273211120
FRIO KIANIT;273213710
AMFITRITA;273216330
LARI;273218850
AFRODITA;273219320
ARCTIC PRINCESS;273219900
PETROGRADSKIY;273251100
VYBORGSKIY;273252100
KRONSHTADTSKIY;273253100
SMOLNINSKIY;273257000
APOLLO FLYER;273310240
GENNADY VODOLAZSKIY;273310720
KOMBRIG MALCHENKO;273311330
FROST OLYMPOS;273311610
PROGRESS;273311860
KOMETA;273312280
GARMONIYA;273312860
ORION;273312950
SIMFONIYA;273313270
ANATOLIY LARIN;273313470
AKASHIYA;273313840
SIRIUS;273313950
BALYUZEK;273316230
MERCURY;273317370
CANOPUS;273317810
GREEN TUNDRA;273319440
ARCTIC;273324210
SAPPHIRE;273325900
POLTAVA;273330280
AFINA;273331810
BUKHTA RUSSKAYA;273332290
KURILSKOYE OZERO;273334010
FRIO AGATES;273335960
CRYSTAL ARCTICA;273337510
CRYSTAL AFRICA;273338510
ZALIV RADUGA;273339110
OS REEFER;273339230
AMBER BALTIC;273342230
MAJESTIC;273344630
ICE BREEZE;273344710
PAVLOVSK;273348520
ICE STREAM;273348810
PARNAS;273349420
PETR RIKORD;273349530
ZODIAK;273349630
ARKADIJA;273350580
ODIN;273351170
AMEGA;273351900
PYOTR ILICHYOV;273352570
CORONA REEFER;273352700
SAN DIEGO;273352840
NADEZHDA;273353310
EKATERINA;273353640
CRYSTAL ATLANTICA;273353800
ZALIV RADUGA;273354210
SEVERNOYE SIYANIYE;273354210
NAGORSK;273354560
MARINE STAR;273354620
SARONIC BREEZE;273354740
CANARIAN REEFER;273354770
ICE WIND;273354920
VOST0K REEFER;273355540
SIVUCH;273356010
VITALIY SHMYKOV;273356290
PROLIV LONGA;273356610
HATSUKARI;273356760
FRIO SEVASTOPOLIS;273357670
FRIO SEVASTOPLIS;273357670
BUKHTA ASACHA;273358410
LIINAHAMARI;273358500
SIERRA;273358510
BUKHTA NATALII;273358660
CAPTAIN MOKEEV;273358980
TAVRIA;273359920
TORNADO;273367690
FRIO VLADIVOSTOK;273374170
BALTIC FORWARD;273374930
MONERON;273376120
ANDROMEDA;273378130
KAMCHATSKIY PROLIV;273381350
PACIFICA;273382550
BOSFOR VOSTOCHNY;273383970
VYSOTSK;273384930
NOVIY SVET;273384970
URGULL;273385120
TIGR 2;273385170
SLAVYANKA;273385860
ZOLOTOY ROG;273387370
ORION-1;273389770
MARIAM;273391560
REEFER;273393960
CRYSTAL ASIA;273394490
ATLANTICA;273395480
CRYSTAL ANTARCTIDA;273395490
RETRIEVER;273397490
TAKIL;273397950
POMOR;273398570
VYBORG;273398640
FRIO SAPFIR;273398990
LIMANSKIY;273410910
OSTROVNOY-7;273411780
ANTARES;273415570
DANKO;273417040
KAM STAR;273417300
ATLANTIC LADY;273419350
LYRA;273420160
KOMMUNARY NIKOLAYEVA;273420240
SVYATOY VLADIMIR;273421150
ANTON GURIN;273421240
PYOTR BOGDANOV;273421300
PROFESSOR MEGRABOV;273421470
KAPITAN KIRICHENKO;273422240
KAPITAN SHCHERBAKOV;273425770
PYOTR GUSENKOV;273426000
TAVR;273428090
MV KAPITAN KANTSIBER;273428710
VASILIY POLESHCHUK;273429140
M/V RUSTICA;273430160
PLANETA;273431300
ARCTIC SPIRIT;273432030
VOLKHOV;273432430
GUTSUL;273432530
CRYSTAL AMAZONIA;273433140
BUZANSKIY;273433460
KOOPERATOR;273434600
IZBERBASH;273434790
BASKUNCHAKSKIY;273435310
PETERGOF;273436790
SPOKOYNYY;273436860
ICE CRYSTAL;273439230
ATMODA;273439810
KATRAN;273440860
LUKOMORYE;273441010
MYS KOMMUNAROV;273441270
JUPITER;273441670
FRIO MURMANSK;273441710
ZARYA;273442580
BUKHTA NAGAEVA;273442740
KAPITAN TEPLYUKOV;273447930
SORAKSAN;273449080
GEOLOG PECHKUROV;273449510
PLUTONAS;273449760
FRIO ARKHANGELSK;273451390
ZALIV PROSTOR;273453980
LEV SHCHEGOLEV;273455510
VLADIVOSTOK 2000;273455520
PREGOLSKIY;273457850
TAMARA;273459400
GIBRALTAR;273511500
TAMBOV;273512400
SARGAN;273561800
OSTROV SHIKOTAN;273563210
