mmsi,shipname,callsign,flag,imo,first_timestamp,last_timestamp
306117000,SIERRALAUREL,PJBQ,ANT,9163403,2018-03-29T08:34:21Z,2018-06-30T17:08:41Z
306873000,SIERRALEYRE,PJJZ,ANT,9135822,2012-01-01T01:06:00Z,2012-06-26T08:58:28Z
309681,GREENBRAZIL,C6WH6,BHS,9045792,2018-06-29T10:34:00Z,2018-06-30T23:47:40Z
308735000,NOVA BRETAGNE,C6JI7,BHS,9000364,2012-01-01T00:39:08Z,2013-09-12T10:03:48Z
311000682,SIERRA LARA,C6DI3,BHS,9120205,2017-07-03T10:28:05Z,2018-06-30T23:35:36Z
311000433,SILVER PEARL,C6CC5,BHS,8400050,2015-08-19T10:00:02Z,2018-06-30T23:57:13Z
311000709,SIERRA LEYRE,C6DL3,BHS,9135822,2017-10-12T08:51:41Z,2018-06-30T06:08:40Z
311043900,GREENCONCORDIA,C6YS7,BHS,9011038,2012-01-03T22:17:16Z,2013-09-09T11:44:22Z
308572000,RUNAWAY BAY,C6PX2,BHS,9019640,2012-01-01T00:28:40Z,2017-02-08T06:13:05Z
308228000,GREEN OCEAN,C6VY8,BHS,9001916,2012-01-03T11:20:45Z,2018-06-30T23:57:00Z
308541000,GREEN SELJE,C6IB5,BHS,8804529,2012-01-06T15:54:49Z,2018-06-30T23:48:42Z
308743000,TAMA STAR,C6MA6,BHS,8517358,2012-01-03T22:03:55Z,2015-05-21T03:08:05Z
308868000,GREEN GUATEMALA,C6WA6,BHS,8912144,2012-01-03T11:04:19Z,2018-06-30T00:42:24Z
309165000,GREEN KLIPPER,C6VY9,BHS,9001904,2012-01-01T02:25:08Z,2018-06-30T23:46:54Z
309281000,GREEN ITALIA,C6WH9,BHS,9045780,2012-01-01T00:52:25Z,2018-06-30T23:44:01Z
309361000,GREEN EXPLORER,C6VZ4,BHS,8922242,2012-01-01T00:04:56Z,2018-06-30T23:01:06Z
309478000,HAINANBAOSHA12,C6NP6,BHS,9063653,2012-01-01T00:20:15Z,2013-03-13T03:33:23Z
352610000,HAINANBAOSHA12,C6NP6,BHS,9063653,2013-03-26T11:30:49Z,2013-03-30T10:46:25Z
309479000,HAINANBAOSHA11,C6NP7,BHS,9063665,2012-01-21T11:08:26Z,2013-03-14T02:30:34Z
309578000,CHANGUINOLABAY,C6RB2,BHS,8801814,2012-01-01T06:38:54Z,2014-07-18T01:00:00Z
309689000,GREEN COSTA RICA,C6WB3,BHS,8912120,2012-01-05T01:34:11Z,2018-06-30T22:40:08Z
311004000,GREEN MAVERIC,C6VY2,BHS,9043055,2012-01-01T00:05:36Z,2018-06-30T18:53:35Z
311009400,GREEN KARMOY,C6XH2,BHS,8804531,2012-01-03T22:46:52Z,2018-06-30T15:50:35Z
