"AtcoCode","TiplocCode","CrsCode","StationName","StationNameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"9100PENZNCE","PENZNCE","PNZ","Penzance Rail Station","","U",147588,30599,"2003-11-04T00:00:00","2011-09-30T14:47:28",2,"rev"
"9100STIVES","STIVES","SIV","St Ives (Cornwall) Rail Station","","U",151947,40127,"2005-04-04T00:00:00","2011-09-30T14:47:28",4,"rev"
"9100CARBISB","CARBISB","CBB","Carbis Bay Rail Station","","U",152930,38745,"2003-11-04T00:00:00","2011-09-30T14:47:28",5,"rev"
"9100STERTH","STERTH","SER","St Erth Rail Station","","U",154150,35730,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev"
"9100LELANTS","LELANTS","LTS","Lelant Saltings Rail Station","","U",154430,36640,"2003-11-04T00:00:00","2011-09-30T14:47:28",2,"rev"
"9100LELANT","LELANT","LEL","Lelant Rail Station","","U",154770,37220,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev"
"9100HAYLE","HAYLE","HYL","Hayle Rail Station","","U",155970,37325,"2003-11-04T00:00:00","2011-09-30T14:47:28",4,"rev"
"9100CBORNE","CBORNE","CBN","Camborne Rail Station","","U",164830,39696,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev"
"9100ARISAIG","ARISAIG","ARG","Arisaig Rail Station","","U",166400,786700,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100MLAIG","MLAIG","MLG","Mallaig Rail Station","","U",167560,797060,"2005-04-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100MORAR","MORAR","MRR","Morar Rail Station","","U",167800,793000,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100REDRUTH","REDRUTH","RED","Redruth Rail Station","","U",170040,42009,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev"
"9100BEASDAL","BEASDAL","BSL","Beasdale Rail Station","","U",170900,785000,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100KYLELSH","KYLELSH","KYL","Kyle of Lochalsh Rail Station","","U",176247,827123,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev"
"9100LCHALRT","LCHALRT","LCL","Lochailort Rail Station","","U",176900,782600,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100DUIRNSH","DUIRNSH","DRN","Duirinish Rail Station","","U",177845,831521,"2003-11-04T00:00:00","2010-02-25T14:56:21",2,"rev"
"9100PRYN","PRYN","PYN","Penryn Rail Station","","U",177900,34710,"2005-04-04T00:00:00","2011-09-30T14:47:28",2,"rev"
"9100PERANWL","PERANWL","PRW","Perranwell Rail Station","","U",178080,39810,"2003-11-04T00:00:00","2011-09-30T14:47:28",2,"rev"
"9100PLOCKTN","PLOCKTN","PLK","Plockton Rail Station","","U",179450,832950,"2005-03-17T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100PENMERE","PENMERE","PNM","Penmere Rail Station","","U",179835,32360,"2005-04-04T00:00:00","2011-09-30T14:47:28",2,"rev"
"9100FALMTHT","FALMTHT","FMT","Falmouth Town Rail Station","","U",181130,32085,"2003-11-04T00:00:00","2011-09-30T14:47:28",4,"rev"
"9100DUNCRAG","DUNCRAG","DCG","Duncraig Rail Station","","U",181207,833239,"2005-03-17T00:00:00","2010-02-25T14:56:09",2,"rev"
"9100NEWQUAY","NEWQUAY","NQY","Newquay Rail Station","","U",181590,61770,"2003-11-04T00:00:00","2007-02-13T17:06:21",2,"rev"
"9100TRURO","TRURO","TRU","Truro Rail Station","","U",181667,44924,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev"
"9100FALMTHD","FALMTHD","FAL","Falmouth Docks Rail Station","","U",181777,32322,"2005-03-17T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100QNTRLDW","QNTRLDW","QUI","Quintrell Downs Rail Station","","U",184890,60405,"2003-11-04T00:00:00","2011-09-30T14:47:28",3,"rev"
"9100OBAN","OBAN","OBN","Oban Rail Station","","U",185795,729888,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev"
"9100STRMFRY","STRMFRY","STF","Stromeferry Rail Station","","U",186467,834667,"2005-04-04T00:00:00","2010-02-25T14:55:58",2,"rev"
"9100GLNFNNN","GLNFNNN","GLF","Glenfinnan Rail Station","","U",189870,780970,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100MLFDHVN","MLFDHVN","MFH","Milford Haven Rail Station","","U",190026,206183,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev"
"9100STCLMBR","STCLMBR","SCR","St Columb Road Rail Station","","U",191100,59560,"2003-11-04T00:00:00","2011-09-30T14:47:28",2,"rev"
"9100CONNELF","CONNELF","CON","Connel Ferry Rail Station","","U",191470,734050,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev"
"9100ATADALE","ATADALE","ATT","Attadale Rail Station","","U",192456,839125,"2003-11-04T00:00:00","2010-02-25T14:55:45",2,"rev"
"9100JHNSTND","JHNSTND","JOH","Johnston (Pembrokeshire) Rail Station","","U",193300,210700,"2003-11-04T00:00:00","2007-02-13T17:06:21",4,"rev"
"9100STCN","STCN","STC","Strathcarron Rail Station","","U",194231,842124,"2003-11-04T00:00:00","2010-02-25T14:55:17",2,"rev"
"9100FGDHGWK","FGDHGWK","FGW","Fishguard & Goodwick Rail Station","","U",194535,238200,"2011-12-01T15:47:59","2011-12-01T15:47:59",0,"new"
"9100FGDHBR","FGDHBR","FGH","Fishguard Harbour Rail Station","","U",195200,239000,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100HAVRFDW","HAVRFDW","HVF","Haverfordwest Rail Station","","U",196000,215700,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev"
"9100PEMBRKD","PEMBRKD","PMD","Pembroke Dock Rail Station","","U",197040,203550,"2005-03-17T00:00:00","2007-02-13T17:06:21",4,"rev"
